sim_id,variable,GCM,RCM,rcp,ensemble,version,start,end,exp_id,minimum,maximum
26011,AET,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,187.100006103516,630.700012207031
26011,AET-ww,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,135.800003051758,519.700012207031
26011,GWR,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0,1571.19995117188
26011,GWR-ww,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0,1242
26011,LAI-ww,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,1.89999997615814,11.8000001907349
26011,SL-ww,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,231,341
26011,yield-ww,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0,107.111999511719
26017,AET,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,213.199996948242,826.599975585938
26017,AET-sm,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,80.6999969482422,658.200012207031
26017,GWR,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0,1546.59997558594
26017,GWR-sm,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0,1119.5
26017,LAI-sm,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0.100000001490116,9.19999980926514
26017,SL-sm,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,75,159
26017,yield-sm,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,1CO20irrigation,0.159999996423721,258.933990478516
26021,AET,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,225.5,623.900024414063
26021,AET-ww,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,139.800003051758,529.200012207031
26021,GWR,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,1631.59997558594
26021,GWR-ww,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,1414.90002441406
26021,LAI-ww,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,1.70000004768372,13.3000001907349
26021,SL-ww,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,233,341
26021,yield-ww,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,99.5870056152344
26027,AET,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,214.800003051758,768
26027,AET-sm,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,76.8000030517578,628.599975585938
26027,GWR,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,1668.30004882813
26027,GWR-sm,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,967.5
26027,LAI-sm,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0.200000002980232,9
26027,SL-sm,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,70,159
26027,yield-sm,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,7.99900007247925,231.371002197266
26031,AET,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,229.300003051758,615.5
26031,AET-ww,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,173.399993896484,531.299987792969
26031,GWR,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,1548.19995117188
26031,GWR-ww,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,1363.09997558594
26031,LAI-ww,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,2.20000004768372,12.1000003814697
26031,SL-ww,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,244,341
26031,yield-ww,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,1CO20irrigation,0,100.919998168945
